good_model,bad_model,round,mean_cumulative_score,mean_reward,n
gpt-4o-mini,no_evil_model,30,288.8607594936709,10.227848101265822,79
gpt-5.1,gpt-4.1,1,10.03896103896104,10.03896103896104,154
gpt-5.1,gpt-4.1,2,21.22077922077922,11.181818181818182,154
gpt-5.1,gpt-4.1,3,34.246753246753244,13.025974025974026,154
gpt-5.1,gpt-4.1,4,50.935064935064936,16.68831168831169,154
gpt-5.1,gpt-4.1,5,66.3896103896104,15.454545454545455,154
gpt-5.1,gpt-4.1,6,80.51948051948052,14.12987012987013,154
gpt-5.1,gpt-4.1,7,95.57142857142857,15.051948051948052,154
gpt-5.1,gpt-4.1,8,111.48051948051948,15.909090909090908,154
gpt-5.1,gpt-4.1,9,125.15584415584415,13.675324675324676,154
gpt-5.1,gpt-4.1,10,139.54545454545453,14.38961038961039,154
gpt-5.1,gpt-4.1,11,154.66233766233765,15.116883116883116,154
gpt-5.1,gpt-4.1,12,169.85714285714286,15.194805194805195,154
gpt-5.1,gpt-4.1,13,184.85714285714286,15.0,154
gpt-5.1,gpt-4.1,14,197.15584415584416,12.2987012987013,154
gpt-5.1,gpt-4.1,15,211.33766233766235,14.181818181818182,154
gpt-5.1,gpt-4.1,16,225.24675324675326,13.909090909090908,154
gpt-5.1,gpt-4.1,17,240.94805194805195,15.7012987012987,154
gpt-5.1,gpt-4.1,18,255.58441558441558,14.636363636363637,154
gpt-5.1,gpt-4.1,19,270.0,14.415584415584416,154
gpt-5.1,gpt-4.1,20,283.94805194805195,13.948051948051948,154
gpt-5.1,gpt-4.1,21,299.23376623376623,15.285714285714286,154
gpt-5.1,gpt-4.1,22,313.31168831168833,14.077922077922079,154
gpt-5.1,gpt-4.1,23,328.27272727272725,14.96103896103896,154
gpt-5.1,gpt-4.1,24,343.09090909090907,14.818181818181818,154
gpt-5.1,gpt-4.1,25,357.23376623376623,14.142857142857142,154
gpt-5.1,gpt-4.1,26,371.45454545454544,14.220779220779221,154
gpt-5.1,gpt-4.1,27,384.5064935064935,13.051948051948052,154
gpt-5.1,gpt-4.1,28,398.97402597402595,14.467532467532468,154
gpt-5.1,gpt-4.1,29,413.1038961038961,14.12987012987013,154
gpt-5.1,gpt-4.1,30,427.23376623376623,14.12987012987013,154
gpt-5.1,gpt-4o-mini,1,9.152777777777779,9.152777777777779,144
gpt-5.1,gpt-4o-mini,2,20.02777777777778,10.875,144
gpt-5.1,gpt-4o-mini,3,35.111111111111114,15.083333333333334,144
gpt-5.1,gpt-4o-mini,4,51.638888888888886,16.52777777777778,144
gpt-5.1,gpt-4o-mini,5,67.30555555555556,15.666666666666666,144
gpt-5.1,gpt-4o-mini,6,83.83333333333333,16.52777777777778,144
gpt-5.1,gpt-4o-mini,7,100.5,16.666666666666668,144
gpt-5.1,gpt-4o-mini,8,116.19444444444444,15.694444444444445,144
gpt-5.1,gpt-4o-mini,9,132.41666666666666,16.22222222222222,144
gpt-5.1,gpt-4o-mini,10,149.38888888888889,16.97222222222222,144
gpt-5.1,gpt-4o-mini,11,165.84722222222223,16.458333333333332,144
gpt-5.1,gpt-4o-mini,12,181.5,15.652777777777779,144
gpt-5.1,gpt-4o-mini,13,196.90277777777777,15.402777777777779,144
gpt-5.1,gpt-4o-mini,14,212.73611111111111,15.833333333333334,144
gpt-5.1,gpt-4o-mini,15,227.54166666666666,14.805555555555555,144
gpt-5.1,gpt-4o-mini,16,242.73611111111111,15.194444444444445,144
gpt-5.1,gpt-4o-mini,17,258.65277777777777,15.916666666666666,144
gpt-5.1,gpt-4o-mini,18,274.80555555555554,16.15277777777778,144
